1325.2969832846 TESS
1325.2983721541 TESS
1325.2997610237 TESS
1325.3011498932 TESS
1325.3025387628 TESS
1325.3039276324 TESS
1325.3053165020 TESS
1325.3067053715 TESS
1325.3080942412 TESS
1325.3094831108 TESS
1325.3108719803 TESS
1325.3122608500 TESS
1325.3136497196 TESS
1325.3150385893 TESS
1325.3164274589 TESS
1325.3178163285 TESS
1325.3192051982 TESS
1325.3205940678 TESS
1325.3219829375 TESS
1325.3233718071 TESS
1325.3247606768 TESS
1325.3261495465 TESS
1325.3275384162 TESS
1325.3289272858 TESS
1325.3303161556 TESS
1325.3317050252 TESS
1325.3330938950 TESS
1325.3344827646 TESS
1325.3358716344 TESS
1325.3372605041 TESS
1325.3386493738 TESS
1325.3400382435 TESS
1325.3414271133 TESS
1325.3428159830 TESS
1325.3442048528 TESS
1325.3455937226 TESS
1325.3469825923 TESS
1325.3483714621 TESS
1325.3497603318 TESS
1325.3511492016 TESS
1325.3525380714 TESS
1325.3539269412 TESS
1325.3553158110 TESS
1325.3567046807 TESS
1325.3580935506 TESS
1325.3594824204 TESS
1325.3608712903 TESS
1325.3622601600 TESS
1325.3636490299 TESS
1325.3650378998 TESS
1325.3664267695 TESS
1325.3678156394 TESS
1325.3692045093 TESS
1325.3705933792 TESS
1325.3719822490 TESS
1325.3733711189 TESS
1325.3747599888 TESS
1325.3761488587 TESS
1325.3775377285 TESS
1325.3789265984 TESS
1325.3803154683 TESS
1325.3817043383 TESS
1325.3830932081 TESS
1325.3844820780 TESS
1325.3858709480 TESS
1325.3872598179 TESS
1325.3886486879 TESS
1325.3900375578 TESS
1325.3914264277 TESS
1325.3928152976 TESS
1325.3942041676 TESS
1325.3955930376 TESS
1325.3969819076 TESS
1325.3983707776 TESS
1325.3997596475 TESS
1325.4011485175 TESS
1325.4025373874 TESS
1325.4039262574 TESS
1325.4053151274 TESS
1325.4067039975 TESS
1325.4080928675 TESS
1325.4094817375 TESS
1325.4108706075 TESS
1325.4122594776 TESS
1325.4136483476 TESS
1325.4150372176 TESS
1325.4164260877 TESS
1325.4178149577 TESS
1325.4192038278 TESS
